127.0.0.1, 2021-02-18 21:21:24, GET, /, HTTP/1.1, 303, 0.019908
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.403001
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002072
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003069
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005221
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004229
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006983
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008211
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.006253
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005141
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002246
127.0.0.1, 2021-02-18 21:21:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-02-18 21:21:26, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001444
127.0.0.1, 2021-02-18 21:22:32, GET, /admin/default/index, HTTP/1.1, 200, 0.238465
127.0.0.1, 2021-02-18 21:22:33, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.002118
127.0.0.1, 2021-02-18 21:22:33, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.005821
127.0.0.1, 2021-02-18 21:22:33, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.004517
127.0.0.1, 2021-02-18 21:22:33, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.005516
127.0.0.1, 2021-02-18 21:22:33, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.005303
127.0.0.1, 2021-02-18 21:22:33, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005448
